Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,118
GSC 5395-4405 (=ASAS J071941-0913.3),07 19 41.1,-09 13 19,11.6,11.8,2.20,,,,,,,,,,,,,,,,
GSC 5974-2665 (=ASAS J072448-1924.0),07 24 48.0,-19 23 60,10.8,11.1,2.58,JH,,,,,,,,,,,,,,,
GSC 7656-2098 (=ASAS J073713-4429.1),07 37 13.0,-44 29 06,12.6,13.4,1.48,,,,,,,,,,,,,,,,
GSC 5989-2164 (=ASAS J074918-1911.3),07 49 18.0,-19 11 18,12.1,12.6,2.54,SD16,SD17,,,,,,,,,,SD15,,,,
GSC 7650-2147 (=ASAS J075413-4005.3),07 54 13.0,-40 05 18,12.8,13.5,2.52,,,,,,,,,,,,,,,,
GSC 8928-1300 (=ASAS J080102-6340.5),08 01 02.0,-63 40 30,11.2,11.4,1.82,,,,,,,,,,,,,,,,
GSC 5425-0343 (=ASAS J080529-1357.5),08 05 28.7,-13 57 31,12.7,13.3,2.41,"JH, SD13",,SD15,,,,,,,,,,,,,
GSC 6575-2783 (=ASASSN-V J084548.24-253102.0),08 45 48.2,-25 31 02,13.1,13.9,1.7,,,,,,,,,,,,,,,,
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,,,,,,,,,,,,,,,,
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,,,,,,,,,,,,,,,,
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15.0,1.12,,,,,,,,,,,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,,,,,,,,,,,,,,,,
V554 Vel (=GSC 7737-0184=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,JH,JH,JH,JH,JH,JH,,,,,,,,,,
V673 Hya (=GSC 6640-0450=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,JH,JH,JH,JH,,,,,,,,,,,,
V358 Mus (=GSC 9238-0506=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12.0,12.4,2.92,,,,,,,,,,,,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14.0,2.17,JH,JH,JH,JH,,,,,,,,,,,,
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13,SD31,,,SD09,SD16,,,,,,,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,,,,,,,,,,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,,,,,,,,,,,,,,,,
V1421 Cen (=GSC 7269-0239=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,,,,JH,JH,,JH,,,,,,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,,,JH,JH,,JH,JH,,,,,,,,
QV Vir,14 18 36.7,-06 37 38,14.7,15.2,1.62,,,,SD09,SD19,,,,,,,,,,,
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88,,,,JH,JH,JH,JH,JH,,,,,,,,
KV Lib,14 46 00.8,-10 13 16,14.1,14.7,1.76,,,,,,JH,JH,JH,,,,,,,,
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13.0,14.0,1.81,,,SD15,JH,JH,JH,JH,JH,JH,,,,,,,
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72,,,,,,JH,JH,JH,JH,,,,,,,
NSV 7158,15 37 12.8,-19 00 38,14.2,14.6,2.03,,,,,JH,JH,JH,JH,JH,,,,,,,
GSC 6185-0215 (=CSS_J154132.9-161200),15 41 32.9,-16 12 00,14.6,15.1,1.92,,,,,JH,JH,JH,JH,JH,,,,,,,
V1051 Ara (=GSC 8729-0957=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72,,,,,,,,JH,JH,JH,,,,,,
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81,,,,,,,,,JH,JH,,,,,,
V6544 Sgr (=GSC 7438-1045=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52,,,,,,,,JH,JH,JH,,,,,,
DW Phe (=GSC 8459-0201=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67,,,,,,,,,JH,JH,JH,JH,,,,
DV Scl (=GSC 7519-0109=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01,,,,,,,,JH,JH,JH,JH,JH,,,,
