Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10.0,2.18,,,,,,,JH19,,JH15,,,
GSC 7553-0883 (=ASAS J021313-4054.8),02 13 12.7,-40 54 50,12.4,12.8,2.77,,,,,,,,,JH16,,,
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,,,,,,,,,JH17,,,
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14.0,1.80,,,,,,,,,JH14,SD26,,
NSV 1122,03 21 19.1,-66 18 06,13.6,14.2,2.01,,,,,,,,,,,,
GSC 9158-0919 (=ASAS J032246-7237.8),03 22 45.9,-72 37 46,12.1,12.4,3.11,,,,,,,,,,,,
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,,,,,,,,,JH14,,,
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,,,,,,,,,,,,
GSC 9492-2623 (=ASAS J040320-8342.0,04 03 20.1,-83 41 59,11.9,12.2,2.06,,,,,,,,,,,,
GSC 5894-0822 (=ASAS J042750-1846.3),04 27 49.6,-18 46 19,11.0,11.3,2.72,,,,,,,,,,,,
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,,,,,,,,,,,,
GSC 8077-0922 (=ASAS J045800-4555.6),04 57 59.6,-45 55 33,12.9,13.8,2.47,,,,,,,,,,,,
GSC 8083-1319 (=ASAS J045801-5011.2),04 58 01.3,-50 11 08,12.7,13.1,2.25,,,,,,,,,,"JH14,15",,
GSC 5942-675 (=ASAS J061614-1925.3),06 16 14.2,-19 25 16,12.5,13.1,1.80,,,,,,,,,,JH13,,
GSC 5371-0256 (=ASAS J061729-1202.9),06 17 29.0,-12 02 52,12.1,12.6,1.83,,,,,,,,,,"JH13,14,15,16",SD29,
GSC 5951-2804 (=ASAS J062443-1816.7) -- Non-radial,06 24 42.9,-18 16 43,11.1,11.3,1.60,"JH01,02,03,20",JH01,,,,,,,,"JH13,14,15,16,17,18,19","JH11,12",
GSC 8543-0414 (=ASAS J063245-5748.4),06 32 45.2,-57 48 20,12.5,13.0,2.18,,,,,,,,,,JH13,,
GSC 5391-0017 (=ASAS J064635-1455.5),06 46 35.1,-14 55 28,12.2,12.9,2.29,,,,,,,,,,JH14,,
GSC 7636-1969 (=ASAS J065955-4201.2),06 59 54.8,-42 01 15,12.0,12.4,1.95,,,,,,,,,,JH15,,
GSC 5968-1693 (=ASAS J070529-1705.3) -- change in amplitude?,07 05 29.0,-17 05 18,12.1,12.5,2.16,,,,,,,,,,JH16,JH12,
GSC 8909-1936 (=ASAS J070918-6117.4),07 09 18.0,-61 17 24,11.9,12.2,1.75,,,,,,,,,,JH17,,
GSC 9179-0864 (=ASAS J071427-6907.6),07 14 27.0,-69 07 36,11.3,11.6,2.32,,,,,,,,,,JH17,,
GSC 5395-4405 (=ASAS J071941-0913.3),07 19 41.1,-09 13 19,11.6,11.8,2.20,,,,,,,,,,JH19,JH11,
GSC 5974-2665 (=ASAS J072448-1924.0),07 24 48.0,-19 23 60,10.8,11.1,2.58,,,,,,,,,,,,
GSC 7656-2098 (=ASAS J073713-4429.1),07 37 13.0,-44 29 06,12.6,13.4,1.48,,,,,,,,,,,,
GSC 5989-2164 (=ASAS J074918-1911.3),07 49 18.0,-19 11 18,12.1,12.6,2.54,,,,,,,,,,,,
GSC 7650-2147 (=ASAS J075413-4005.3),07 54 13.0,-40 05 18,12.8,13.5,2.52,,,,,,,,,,,,
GSC 8928-1300 (=ASAS J080102-6340.5),08 01 02.0,-63 40 30,11.2,11.4,1.82,,,,,,,,,,,,
GSC 5425-0343 (=ASAS J080529-1357.5),08 05 28.7,-13 57 31,12.7,13.3,2.41,JH31,,,,,,,,,,,
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,,JH01,,,,,,,,,,
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,"JH01,02,03,20",JH01,,,,,,,,,,
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15.0,1.12,JH28,,,,,,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,JH29,,SD23,,,,,,,,,
V554 Vel (=GSC 7737-0184=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,JH20,,,,,,,,,,,
V673 Hya (=GSC 6640-0450=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,JH21,,SD23,,,,,,,,,
V358 Mus (=GSC 9238-0506=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12.0,12.4,2.92,JH23,,,,,,,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14.0,2.17,JH30,,"SD03, SD10",,,,,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,,JH02,,FD30,,,,,,,,
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13,,JH03,,,,,,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,,,,,,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,,,SD11,,,,,,,,,
V1421 Cen (=GSC 7269-0239=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,,,,,,,,,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,,JH21,,,,,,,,,
